Component,Cont,Default,DorsAttn,Limbic,SalVentAttn,SomMot,Vis
ICA_1,29.824011697738783,21.499220812263463,21.738843846813,0.8570418801908465,22.201995194058107,30.030511454724103,17.25241076733239
ICA_10,14.768395216460389,22.132112075819737,21.626787950695405,17.078989220710373,16.23097648001165,31.013083725500334,9.90813948174215
ICA_2,18.131495117238497,31.774957860255064,7.975743194252191,31.056723802792014,6.706473458093642,11.392666908000207,13.797358438828208
ICA_3,24.210141521750483,24.984893298985465,16.439259112780963,15.665311892560524,14.439670865797712,22.930133940114807,9.68877107993236
ICA_4,30.414120841819415,25.719556022008078,9.399512227275723,16.566531189256054,19.5150367727372,12.189067590629362,3.7338330058041223
ICA_5,16.047835396104233,17.31704989981872,14.152000527321865,9.657183247923662,19.34027524939926,24.17127786109531,20.830857821854575
ICA_6,19.598934670217766,19.559202366186433,20.8885373409795,13.456441067326383,18.255297458676182,27.11899467342401,11.809332297426991
ICA_7,9.640190088255261,20.071240021626437,18.53536352251005,8.084467220356952,6.517148474477535,10.389408905207633,25.423883734747037
ICA_8,16.549167058332028,13.306618325223422,19.754795333201503,18.58102138186959,19.616980994684337,52.35041630035683,10.022393857684749
ICA_9,28.05890647031177,19.20300225805426,41.427723947004154,1.66990634387701,10.150731813878977,7.638206547034184,48.480416799963436
