Component,Cont,Default,DorsAttn,Limbic,SalVentAttn,SomMot,Vis
ICA_1,5711,6760,3298,97,3049,5807,3775
ICA_10,2828,6959,3281,1933,2229,5997,2168
ICA_2,3472,9991,1210,3515,921,2203,3019
ICA_3,4636,7856,2494,1773,1983,4434,2120
ICA_4,5824,8087,1426,1875,2680,2357,817
ICA_5,3073,5445,2147,1093,2656,4674,4558
ICA_6,3753,6150,3169,1523,2507,5244,2584
ICA_7,1846,6311,2812,915,895,2009,5563
ICA_8,3169,4184,2997,2103,2694,10123,2193
ICA_9,5373,6038,6285,189,1394,1477,10608
