Component,Cont,Default,DorsAttn,Limbic,SalVentAttn,SomMot,Vis
ICA_1,3250,5053,4541,2524,1751,7468,4507
ICA_10,3497,7589,2168,2218,2868,7268,2424
ICA_2,2749,7129,2381,2492,1413,5718,2974
ICA_3,2040,5658,1358,2512,1730,3060,6913
ICA_4,3553,8924,1855,3588,1537,5457,2080
ICA_5,3336,6938,2574,1514,2024,7150,3366
ICA_6,4467,6492,2059,2460,3528,7446,3595
ICA_7,3892,7339,2723,1553,2479,4598,3208
ICA_8,6479,7225,494,10,2296,117,7353
ICA_9,5606,8023,983,2838,2023,3705,1243
