Component,Cont,Default,DorsAttn,Limbic,SalVentAttn,SomMot,Vis
ICA_1,5002,6402,2718,2050,2961,5044,3149
ICA_10,4894,7910,2600,1139,1871,4670,1046
ICA_2,4020,9652,2070,2639,2225,3615,2325
ICA_3,3890,7579,2493,1614,2526,6056,2715
ICA_4,2147,4160,3829,1375,2885,9715,2474
ICA_5,2971,10226,2431,2422,1878,2362,2956
ICA_6,2828,8510,1047,1918,1805,3613,4279
ICA_7,8523,7833,4426,703,1994,1435,5871
ICA_8,2084,6698,2954,1165,530,1219,5757
ICA_9,3343,7430,2294,3688,2674,5470,2215
