Component,Cont,Default,DorsAttn,Limbic,SalVentAttn,SomMot,Vis
ICA_1,26.121468483993944,20.36065260948383,17.915760332212773,18.11274076691995,21.561202941818976,26.084708072606922,14.39148119372972
ICA_10,25.557470363987676,25.156632636834907,17.13796058269066,10.063615479766744,13.624117090220636,24.15059212907897,4.780403089438325
ICA_2,20.993263355788812,30.696816461533565,13.644453233142178,23.316840431171585,16.201849559455326,18.694730309768836,10.62565696266167
ICA_3,20.314376729855347,24.103934102979995,16.43266758947993,14.26047004771161,18.39365033131872,31.318198272741377,12.408025227366208
ICA_4,11.212073737531986,13.230289730623667,25.238942719662518,12.14878953878777,21.007791451248817,50.240471634689975,11.306613043279558
ICA_5,15.515170504987205,32.52234201571097,16.02399314481577,21.399540554868352,13.675089201194204,12.21492475564979,13.50943741145286
ICA_6,14.768395216460389,27.064847501828705,6.9013248961835085,16.946456971196326,13.143522901041289,18.684387443760667,19.555778986335177
ICA_7,44.508851637161214,24.911745062494038,29.17408213038033,6.2113447605584025,14.519769897327606,7.421006360862595,26.831497646359853
ICA_8,10.883074834194998,21.302038609547434,19.471359831257004,10.293338045591094,3.859316973712954,6.303976831980142,26.310497692061606
ICA_9,17.457830696119903,23.63006074483987,15.12095445257399,32.58526241385404,19.471346391902717,28.287738532347312,10.122937708514236
