Component,Cont,Default,DorsAttn,Limbic,SalVentAttn,SomMot,Vis
ICA_1,3081,5570,4252,2302,1873,7275,1391
ICA_10,2682,6375,2495,2539,2937,4680,4782
ICA_2,2468,8152,2108,2159,2614,6229,2370
ICA_3,2655,5171,2169,2636,2177,4978,6153
ICA_4,4203,9392,1841,2889,1825,3679,2152
ICA_5,3317,6127,4030,1398,2661,9293,3385
ICA_6,4642,9921,2418,2704,2118,2915,441
ICA_7,4365,8987,1449,2003,1980,2487,4223
ICA_8,3990,7667,2260,1945,3078,6249,2725
ICA_9,7770,6562,531,164,2734,1633,4584
