Component,Cont,Default,DorsAttn,Limbic,SalVentAttn,SomMot,Vis
ICA_1,16.97216564833673,16.070349521356107,29.93210730999934,22.300759851563882,12.75030947353091,38.62026167451001,20.597778894931675
ICA_10,18.26205023761032,24.135737684063223,14.290422516643597,19.597101961477293,20.88400203888444,37.585975073692914,11.078104291394359
ICA_2,14.355841036085435,22.672772954234645,15.694416979764023,22.01802438593391,10.289084686521518,29.5702539173605,13.591700562131528
ICA_3,10.653297822340592,17.994466176891518,8.951288642805352,22.19473405195264,12.597393140610208,15.824584992501423,31.593620035647362
ICA_4,18.554493707243196,28.381515758674425,12.227275723419682,31.70171408376038,11.192019223767566,28.220509903294204,9.505964078424203
ICA_5,17.42127526241579,22.065324555544954,16.966580976863753,13.376921717617954,14.738221801500037,36.97574597921084,15.383209176911475
ICA_6,23.327588908036972,20.6468848392329,13.571946476830796,21.73528892030394,25.689943930677927,38.50649014842013,16.42977926054568
ICA_7,20.324821139485092,23.34064815698248,17.94871794871795,13.72150556635448,18.051409014781914,23.778248952784818,14.661121520954254
ICA_8,33.83466499556113,22.978087332633653,3.2562125107112254,0.08835483300936561,16.718852399330082,0.6050576614779956,33.6044970522371
ICA_9,29.275680192177138,25.51601310307541,6.479467404917276,25.07510160805796,14.730940071360957,19.160159280136526,5.680727571866003
