Component,Cont,Default,DorsAttn,Limbic,SalVentAttn,SomMot,Vis
ICA_1,28.226017024387694,17.479248163343193,37.789203084832906,1.934970842905107,9.291487657467416,5.916119356673734,54.16114437182944
ICA_10,22.580813619510156,36.656807556530865,6.723353767055566,23.89114684573246,11.716303793781401,13.600868800744687,10.749051688679677
ICA_2,28.481905060316464,28.470565785707468,18.64082789532661,15.992224774695178,16.638753367800188,21.037389460619536,2.7192541474338467
ICA_3,11.849182724946472,18.392010940431895,20.123920638059456,9.895741297048948,8.70166751620185,14.78512695868025,20.328138567707143
ICA_4,15.17572719202047,17.77184110930891,22.21343352448751,4.382399717264534,15.553775577077115,17.732843771008948,34.25346190759106
ICA_5,13.755287482375058,27.18252075183666,17.816887482697254,15.16168934440714,18.349959950484234,33.38677147437555,10.127507883551939
ICA_6,10.862186014935507,18.75139140667239,22.48368597982994,16.540024739353242,16.442146654045,35.201944458809535,8.76102554727846
ICA_7,16.277612407958642,12.635562764367267,27.882143563377497,18.21876656653119,18.794145488968176,50.97998655427419,14.450893469219873
ICA_8,31.740560864797118,23.808160798905956,8.443741348625668,12.343170171408376,20.782057816937304,11.304752546930755,4.405648736346602
ICA_9,27.08757637474542,17.778201825525557,15.068222266165712,6.706131825410849,18.765018568411854,22.92496250711072,23.125085690781958
