Component,Cont,Default,DorsAttn,Limbic,SalVentAttn,SomMot,Vis
ICA_1,16.08961303462322,17.714594663359094,28.027157076000265,20.339282558755965,13.6386805504988,37.622175104721514,6.357113477446186
ICA_10,14.005953313488956,20.274782940559106,16.445850636082,22.433292101077928,21.38644141848103,24.20230645911982,21.85457703030026
ICA_2,12.888401483106168,25.92627929904907,13.894931118581505,19.075808446722036,19.034442583557855,32.21285618244816,10.831314839358347
ICA_3,13.864953783487389,16.445631778138218,14.29701403994463,23.290333981268777,15.852326512779435,25.74339349433728,28.120287006992367
ICA_4,21.948926836910545,29.869923353369586,12.134994397205194,25.525711256405724,13.289157503822906,19.025702022030305,9.835016681138887
ICA_5,17.322053370933208,19.486054129695006,26.563838903170524,12.352005654709313,19.376683900094662,48.05812690696592,15.470042502627852
ICA_6,24.241474750639718,31.552332792672455,15.938303341902312,23.89114684573246,15.422704434573657,15.074727206909033,2.0154471916274392
ICA_7,22.794924016919943,28.581878319498777,9.551117263199526,17.697473051775933,14.417825675380472,12.86135388116047,19.299849184223756
ICA_8,20.836597211342628,24.38380561651242,14.896842660338805,17.18501502032161,22.41316536809146,32.31628484252986,12.453726977743248
ICA_9,40.57653141156196,20.86950990681551,3.5000988728495157,1.4490192613535962,19.90825020024758,8.44495009567151,20.94968237283488
